record_id,latitude,longitude,elevation_m,road_slope_percent,topographic_wetness_index,distance_to_lowest_point_m,distance_to_nearest_drain_m,underpass,historical_waterlogging_count,known_waterlogging_hotspot,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_intensity_mm_hr,waterlogging,waterlogging_severity
GWL_0001,28.43542,77.02835,211.7,4.86,9.98,496.8,61.0,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0002,28.4361,77.02762,211.1,8.58,10.27,450.8,40.5,1,26,1,32.0,58.0,74.0,89.0,40.0,1,1
GWL_0003,28.4356,77.02637,211.6,5.61,10.23,504.2,58.6,1,26,1,45.0,82.0,115.0,132.0,55.0,1,2
GWL_0004,28.43608,77.02564,211.6,4.36,10.81,524.6,59.3,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0005,28.43521,77.02579,211.6,4.67,10.36,487.4,62.3,1,26,1,70.0,125.0,160.0,218.0,85.0,1,3
GWL_0006,28.43524,77.02706,211.5,9.33,10.68,515.1,61.8,1,26,1,62.0,118.0,155.0,185.0,75.0,1,3
GWL_0007,28.43457,77.02609,211.1,6.14,10.33,476.6,45.7,1,26,1,62.0,118.0,155.0,185.0,75.0,1,3
GWL_0008,28.43472,77.02791,211.2,8.25,10.22,452.2,59.5,1,26,1,58.0,105.0,142.0,168.0,70.0,1,3
GWL_0009,28.43661,77.02572,211.4,8.75,10.56,482.2,36.9,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0010,28.43523,77.02648,211.7,8.88,10.29,499.3,56.4,1,26,1,32.0,58.0,74.0,89.0,40.0,1,1
GWL_0011,28.43661,77.02698,211.5,4.14,10.01,478.8,54.1,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0012,28.43524,77.02703,211.8,6.26,10.54,512.2,37.3,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0
GWL_0013,28.43517,77.02598,211.8,7.48,10.65,535.1,40.6,1,26,1,40.0,72.0,98.0,115.0,48.0,1,2
GWL_0014,28.43672,77.02819,211.4,5.25,10.37,501.7,60.8,1,26,1,32.0,58.0,74.0,89.0,40.0,1,1
GWL_0015,28.43555,77.02617,211.2,9.19,10.34,472.8,56.1,1,26,1,0.0,0.0,0.0,0.0,0.0,0,0
