grid_id,center_latitude,center_longitude,observation_count,waterlogging_count
GRID_001,28.315,77.04,1,1
GRID_002,28.365000000000002,77.055,2,2
GRID_003,28.37,77.05,7,7
GRID_004,28.385,77.015,8,8
GRID_005,28.39,77.03,10,10
GRID_006,28.395,77.055,2,2
GRID_007,28.400000000000002,77.055,5,5
GRID_008,28.425,77.015,2,2
GRID_009,28.425,77.04,2,2
GRID_010,28.43,77.01,3,3
GRID_011,28.43,77.015,4,4
GRID_012,28.43,77.04,2,2
GRID_013,28.43,77.045,2,2
GRID_014,28.43,77.12,1,1
GRID_015,28.435000000000002,77.025,9,9
GRID_016,28.435000000000002,77.03,5,5
GRID_017,28.435000000000002,77.04,1,1
GRID_018,28.44,77.04,15,15
GRID_019,28.445,77.095,2,2
GRID_020,28.445,77.10000000000001,2,2
GRID_021,28.45,77.10000000000001,3,3
GRID_022,28.455000000000002,77.075,1,1
GRID_023,28.46,76.985,5,5
GRID_024,28.46,77.03,1,1
GRID_025,28.46,77.055,2,2
GRID_026,28.46,77.06,1,1
GRID_027,28.46,77.07000000000001,1,1
GRID_028,28.46,77.08,1,1
GRID_029,28.465,77.03,1,1
GRID_030,28.465,77.055,2,2
GRID_031,28.465,77.06,3,3
GRID_032,28.47,76.99,1,1
GRID_033,28.47,76.995,4,4
GRID_034,28.47,77.07000000000001,5,4
GRID_035,28.47,77.075,2,2
GRID_036,28.47,77.08,1,1
GRID_037,28.475,77.025,1,1
GRID_038,28.475,77.045,1,1
GRID_039,28.475,77.07000000000001,1,1
GRID_040,28.475,77.075,2,2
GRID_041,28.475,77.08,1,1
GRID_042,28.48,77.015,1,1
GRID_043,28.48,77.02,2,2
GRID_044,28.48,77.05,1,1
GRID_045,28.48,77.08,1,1
GRID_046,28.48,77.09,1,1
GRID_047,28.485,76.97500000000001,1,1
GRID_048,28.485,77.02,3,3
GRID_049,28.485,77.03,1,1
GRID_050,28.490000000000002,76.97500000000001,7,7
GRID_051,28.490000000000002,77.095,1,1
GRID_052,28.495,76.985,3,3
GRID_053,28.5,76.985,7,7
GRID_054,28.52,77.01,10,10
GRID_055,28.52,77.015,1,1
GRID_056,28.525000000000002,77.01,1,1
