incident_id,latitude,longitude,location_name,sector,date,time,severity,depth_cm,duration_minutes,source,source_url,verified
INC_0001,28.4361,77.02762,Hero Honda Chowk Underpass,Sector 33,2019-07-15,14:15,1,9.6,61,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0002,28.4356,77.02637,Hero Honda Chowk Underpass,Sector 33,2018-08-28,08:30,2,24.0,106,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0003,28.43521,77.02579,Hero Honda Chowk Underpass,Sector 33,2021-09-01,06:30,3,47.8,239,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0004,28.43524,77.02706,Hero Honda Chowk Underpass,Sector 33,2021-07-19,07:45,3,57.9,285,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0005,28.43457,77.02609,Hero Honda Chowk Underpass,Sector 33,2021-07-19,07:45,3,48.4,217,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0006,28.43472,77.02791,Hero Honda Chowk Underpass,Sector 33,2020-08-19,09:00,3,61.2,251,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0007,28.43523,77.02648,Hero Honda Chowk Underpass,Sector 33,2019-07-15,14:15,1,16.4,63,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0008,28.43517,77.02598,Hero Honda Chowk Underpass,Sector 33,2025-07-20,10:10,2,37.9,108,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0009,28.43672,77.02819,Hero Honda Chowk Underpass,Sector 33,2019-07-15,14:15,1,5.1,60,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0010,28.43539,77.02842,Hero Honda Chowk Underpass,Sector 33,2023-07-09,05:00,3,58.3,210,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0011,28.43445,77.02634,Hero Honda Chowk Underpass,Sector 33,2018-08-28,08:30,2,33.4,128,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0012,28.43501,77.02768,Hero Honda Chowk Underpass,Sector 33,2018-08-28,08:30,2,26.4,76,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0013,28.43442,77.02727,Hero Honda Chowk Underpass,Sector 33,2019-07-15,14:15,1,15.4,53,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0014,28.43711,77.02591,Hero Honda Chowk Underpass,Sector 33,2021-07-19,07:45,3,64.5,219,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0015,28.45951,77.03139,Rajiv Chowk Junction,Sector 33,2023-07-09,05:00,1,16.1,71,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0016,28.47167,77.07337,IFFCO Chowk Underpass,Sector 29,2020-08-19,09:00,2,29.5,68,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0017,28.47172,77.07298,IFFCO Chowk Underpass,Sector 29,2023-07-09,05:00,2,20.5,112,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0018,28.47348,77.07382,IFFCO Chowk Underpass,Sector 29,2021-09-01,06:30,2,21.4,88,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0019,28.47313,77.07117,IFFCO Chowk Underpass,Sector 29,2020-08-19,09:00,1,16.0,78,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0020,28.47145,77.07163,IFFCO Chowk Underpass,Sector 29,2021-07-19,07:45,2,26.8,143,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0021,28.47165,77.07145,IFFCO Chowk Underpass,Sector 29,2023-07-09,05:00,2,21.5,133,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0022,28.47351,77.07267,IFFCO Chowk Underpass,Sector 29,2021-09-01,06:30,2,20.9,85,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0023,28.47235,77.07133,IFFCO Chowk Underpass,Sector 29,2018-08-28,08:30,1,15.3,39,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0024,28.46214,77.05668,Signature Tower Underpass,Sector 30,2024-08-11,16:20,1,19.5,80,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0025,28.46451,77.05801,Signature Tower Underpass,Sector 30,2025-07-20,10:10,1,19.9,63,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0026,28.46269,77.05862,Signature Tower Underpass,Sector 30,2023-07-09,05:00,2,30.4,136,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0027,28.46411,77.05724,Signature Tower Underpass,Sector 30,2025-07-20,10:10,1,18.6,50,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0028,28.46354,77.05895,Signature Tower Underpass,Sector 30,2021-09-01,06:30,2,29.8,83,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0029,28.46211,77.05736,Signature Tower Underpass,Sector 30,2021-07-19,07:45,2,30.7,81,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0030,28.46329,77.05698,Signature Tower Underpass,Sector 30,2018-08-28,08:30,1,14.1,44,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0031,28.46224,77.05817,Signature Tower Underpass,Sector 30,2021-07-19,07:45,2,36.3,83,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0032,28.42746,77.04197,Subhash Chowk,Sector 47,2021-09-01,06:30,1,9.3,64,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0033,28.42831,77.04224,Subhash Chowk,Sector 47,2021-07-19,07:45,1,16.0,86,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0034,28.42953,77.04218,Subhash Chowk,Sector 47,2023-07-09,05:00,1,16.2,60,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0035,28.4276,77.0437,Subhash Chowk,Sector 47,2021-09-01,06:30,1,19.1,67,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0036,28.42863,77.04282,Subhash Chowk,Sector 47,2021-07-19,07:45,1,6.7,89,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0037,28.42706,77.04201,Subhash Chowk,Sector 47,2021-09-01,06:30,1,18.8,50,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
INC_0038,28.44678,77.09727,Golf Course Road Underpass (Genpact),Sector 53,2020-08-19,09:00,1,5.3,36,MCG Flood Control Room & GMDA OneMap,https://onemapgurugram.gmda.gov.in/,1
